title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;
Toko Sembako Ibu Lilis;;;jl. pasirkaliki tengah RT 05/18 No 178, Jl. Sadang Serang;Kota Bandung;Jawa Barat;ID;;;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Ibu%20Lilis&query_place_id=ChIJ7aT7NqznaC4Ri5AcJbpLsMU;Pusat Perbelanjaan;;;;;
Warung sembako AL Azzam;;;3HXW+F7V noor, Jl. Muhamad;Kota Bandung;Jawa Barat;ID;;;Toko sembako pemerintah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20AL%20Azzam&query_place_id=ChIJ5xCdbgDnaC4RgivVt0sU6WU;Toko sembako pemerintah;;;;;
Lizzy Outfit Bandung;4.7;10;Jl. Cihampelas Walk No.160;Kota Bandung;Jawa Barat;ID;;+62 812-2200-9865;Toko Pakaian Wanita;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Lizzy%20Outfit%20Bandung&query_place_id=ChIJC_KqcPTnaC4RV4oZCJJYqaE;Toko Pakaian Wanita;;;;;
Gerai Hijab Baltos Lantai D2 (Toko Hijab Polos; Motif; Seragaman);4.8;16;Balubur Town Square, Jl. Tamansari;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian;Toko Aksesori Pakaian;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Gerai%20Hijab%20Baltos%20Lantai%20D2%20(Toko%20Hijab%20Polos%2C%20Motif%2C%20Seragaman)&query_place_id=ChIJCyhdakXmaC4RPRG7-vZZRgg;Toko Pakaian;;;
Toko Sembako Mandiri Berkah;;;4JC8+C79, Jl. Kp. Babakan Muncang;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Mandiri%20Berkah&query_place_id=ChIJ3d9sSgDnaC4R1CnYyYvh9zU;Toko;;;;;
Arsyad_Fan Store;5;12;Jl. Cisitu Indah VI No.237a;Kota Bandung;Jawa Barat;ID;;+62 898-7428-028;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Arsyad_Fan%20Store&query_place_id=ChIJ6x2hLJLnaC4R6qoXwJBajO4;Toko Pakaian;;;;;
Kaos bandung d81;5;3;Jl. Ir. H. Juanda No.81, RW.02;Kota Bandung;Jawa Barat;ID;;+62 812-6693-9363;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kaos%20bandung%20d81&query_place_id=ChIJTzbLRlznaC4RPirhimJN1eE;Toko Pakaian;;;;;
Rabbani;4.5;1889;Jl. Dipati Ukur No.44;Kota Bandung;Jawa Barat;ID;https://info.rabbani.id/;+62 22 2534407;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rabbani&query_place_id=ChIJGX0rPlLmaC4RWjzcfOkGXIc;Toko Pakaian;;;;;
Konveksi Bandung Berkualitas Murah | Jasa Sablon | CV. ALIFBA FAMILY WEARS;5;30;Jl. Tubagus Ismail VIII No.68;Kota Bandung;Jawa Barat;ID;;+62 877-3736-5073;Toko Pakaian;Toko Kaos Custom;Industri Percetakan;;;;;;;;https://www.google.com/maps/search/?api=1&query=Konveksi%20Bandung%20Berkualitas%20Murah%20%7C%20Jasa%20Sablon%20%7C%20CV.%20ALIFBA%20FAMILY%20WEARS&query_place_id=ChIJd-h8h-HnaC4R5gYAa4qkPkU;Toko Pakaian;;;;;
Jersey; Jersey murah; Baju bola murah; Jsports bandung; jersey bandung; baju bola;5;2;Jl. Cijerokaso No.18, RT.03/RW.10;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Jersey%2C%20Jersey%20murah%2C%20Baju%20bola%20murah%2C%20Jsports%20bandung%2C%20jersey%20bandung%2C%20baju%20bola&query_place_id=ChIJO7J_HZzmaC4RqzpNRwsp02I;Toko
Warung Sembako Maabar;;;samping masjid Sabillunajah, Jl. Karang Tinggal Dalam Gg. H. Durahman No.26, RT.05/RW.11;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Maabar&query_place_id=ChIJLcBAQADnaC4RQa762V-yrxo;Toko bahan makanan;;;;;
Raja Hanger;4.8;21;Gg. Kubang Sari VII No.46, RT.03/RW.06;Kota Bandung;Jawa Barat;ID;;+62 813-2700-0234;Toko Pakaian dan Peralatan Luar Ruangan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Raja%20Hanger&query_place_id=ChIJAxzWJIfnaC4R96LTpACu5JA;Toko Pakaian dan Peralatan Luar Ruangan;;;;;
Warung Sembako P Samsul;;;;Kota Bandung;Jawa Barat;ID;;+62 812-2489-6840;Pusat Perbelanjaan;Toko sembako pemerintah;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20P%20Samsul&query_place_id=ChIJyS7-otnnaC4Ro8vnNvHBqb4;Pusat Perbelanjaan;;;;;
Little K Babyshop;4.4;19;Jl. Prof. Dr. Sutami No.68;Kota Bandung;Jawa Barat;ID;;+62 817-215-780;Toko Perlengkapan Bayi;Toko Pakaian Bayi;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Little%20K%20Babyshop&query_place_id=ChIJiYwD74_maC4RXS3AVXHAaPo;Toko Perlengkapan Bayi;;;;;
Warung Sembako Berkah Mamah Deva;;;BA Jl. Tubagus Ismail Dalam No.40;Kota Bandung;Jawa Barat;ID;;+62 821-1100-2922;Toko Swalayan;Toko umum;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Berkah%20Mamah%20Deva&query_place_id=ChIJsxq0JwDnaC4RGJVXUurSnOs;Toko Swalayan;;;;;
Kios sembako aulia;5;1;Jl. Bukit Dago Utara II No.36;Kota Bandung;Jawa Barat;ID;;+62 859-3935-3330;Kios;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kios%20sembako%20aulia&query_place_id=ChIJ3-uOR9vnaC4RIaHRxtHtygg;Kios;;;;;
Warung Sembako Al Malik;;;Jl. Kubang Selatan No.224;Kota Bandung;Jawa Barat;ID;;+62 812-9651-2088;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Al%20Malik&query_place_id=ChIJpYrTMF7naC4Rr0LVihhuXIo;Toko;;;;;
Warung Rima Sembako;4.3;3;4J5C+79C, Jl. Sukasari I;Kota Bandung;Jawa Barat;ID;;;Toko Makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Rima%20Sembako&query_place_id=ChIJGfI6qlTmaC4RAwXMHWhJ0qo;Toko Makanan;;;;;
Toko sembako pangestu;5;1;Jl. Sekeloa No.2;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20sembako%20pangestu&query_place_id=ChIJrWyVUwDnaC4R2Wn9uFXt5ns;Toko;;;;;
JASA PRINT DTF;4.2;74;Jl. Pasir Impun Barat No.32, RT.02;Kota Bandung;Jawa Barat;ID;http://dxrcreative.blogspot.com/;+62 811-3931-933;Penjahit Pesanan Khusus;Toko Kaos Custom;;;;;;;;;https://www.google.com/maps/search/?api=1&query=JASA%20PRINT%20DTF&query_place_id=ChIJZ_-d6mPdaC4R1tJPAk6bvss;Penjahit Pesanan Khusus;;;;;
KAOS POLO T SHIRT. Com Bandung;2.7;3;Jl. P.h.h Mustopa 155, , Kompleks Ruko Surapati Core Blok F No.28 Padasuka;Kota Bandung;Jawa Barat;ID;http://www.kaospolotshirt.com/;+62 811-210-793;Toko Pakaian Kerja;Toko Kaos Custom;Jasa Bordir;Toko Pakaian Olahraga;;;;;;;https://www.google.com/maps/search/?api=1&query=KAOS%20POLO%20T%20SHIRT.%20Com%20Bandung&query_place_id=ChIJmyZAZJHnaC4RMtnGh7-1Xgg;Toko Pakaian Kerja;;;;;
"Toko Sembako ""Riko""";5;3;4J6G+83J, Jl. Sadang Tengah III;Kota Bandung;Jawa Barat;ID;;+62 813-2144-6063;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20%22Riko%22&query_place_id=ChIJqXsMravnaC4RMFHSBIMa0fI;Minimarket;;;;;
Toko Al Barokah;1.3;3;Jl. Cibogo;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Al%20Barokah&query_place_id=ChIJKRHMZRfnaC4RQXHp0zP1wjY;Toko Kelontong Asia;;;;;
KM KONVEKSI BANDUNG;5;1;Ruko Grand Sucore, Jl. Khp Hasan Mustopa No.155 Blok F-28;Kota Bandung;Jawa Barat;ID;http://www.uniform-factory.com/;+62 811-210-793;Toko Pakaian Seragam;Jasa Bordir;Toko Suvenir;Produsen Pakaian Olahraga;Toko Pakaian Kerja;;;;;;https://www.google.com/maps/search/?api=1&query=KM%20KONVEKSI%20BANDUNG&query_place_id=ChIJDaB03pPnaC4Ru81wKLcesjE;Toko Pakaian Seragam;;;;;
Warung Neng Nur;4.6;5;Jl. Ciumbuleuit Gg. Abah Nursai;Kota Bandung;Jawa Barat;ID;;+62 813-9521-3363;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Neng%20Nur&query_place_id=ChIJlX_c-PvnaC4RphamKUdA3ig;Toko Kelontong Asia;;;;;
Warung Baraya;;;Jl. Bangbayang.51A/157D, 40134, RT.02/RW.09;Kota Bandung;Jawa Barat;ID;;+62 815-7255-5439;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Baraya&query_place_id=ChIJYxk3z13naC4RdLfccb-dHbE;Toko Kelontong Asia;;;;;
Toko Neta;1;1;Jl. Babakan Cianjur No.8;Kota Bandung;Jawa Barat;ID;;+62 838-6328-4385;Toko Kelontong Asia;Warung Makanan Kecil;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Neta&query_place_id=ChIJEwlmYtLlaC4RfPsH3HHsiDo;Toko Kelontong Asia;;;;;
Warung Miky A Hakiki (Donatkhans);5;1;Gg. Asli II, RT.004/005/RW.no 26;Bandung, Jawa Barat;Jawa Barat;ID;;;Grosir Barang Kelontong;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Miky%20A%20Hakiki%20(Donatkhans)&query_place_id=ChIJT9mE0QTnaC4Ry3TTGBAHaEQ;Grosir Barang Kelontong;;;;;
Warung kelontong;;;4JR8+HF2, Kampung Jl. Cipicung Hilir, RT.05/RW.02;Kota Bandung;Jawa Barat;ID;;+62 853-5215-2673;Dapur Umum;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20kelontong&query_place_id=ChIJkTNeRgDnaC4Rw_mvlNZEWXo;Dapur Umum;;;;;
Warung mbak;;;4HJM+8M8, Jl. Sukahaji Blk. 2, RT.02/RW.07;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20mbak&query_place_id=ChIJfWoeZwDnaC4RH2sOcmS5Mng;Toko Kelontong Asia;;;;;
Warung Abang Ayut;5;6;Jl. Babakan Caringin;Kota Bandung;Jawa Barat;ID;;+62 822-1624-9007;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Abang%20Ayut&query_place_id=ChIJcwpltmLmaC4R_f1LRkH6aCY;Toko bahan makanan;;;;;
Bambi;4.7;16;Jl. Dagopojok No.43;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Bambi&query_place_id=ChIJr_eD4-PmaC4R_zo-fCNcWA0;Toko Kelontong Asia;;;;;
toko baju Tri Buana;5;1;ciwalk, cihampelas;Kota Bandung;Jawa Barat;ID;;+62 811-2422-640;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=toko%20baju%20Tri%20Buana&query_place_id=ChIJp0jUj0jnaC4RxIqViScatMM;Toko Pakaian;;;;;
GIANISA;4.4;19;Jl. Gegerkalong Girang No.63;Kota Bandung;Jawa Barat;ID;;+62 813-9449-0202;Butik;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=GIANISA&query_place_id=ChIJ99mjR7zmaC4Ro3jlj0pAadg;Butik;;;;;
Warung Djawa;3.3;10;Jl. Tubagus Ismail No.20;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Djawa&query_place_id=ChIJ3xghNt7naC4R9X93GJkEIGo;Toko bahan makanan;;;;;
Sk.secondstore.Bdg;5;2;Jl. Gegerkalong Tengah No.68;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian Bekas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sk.secondstore.Bdg&query_place_id=ChIJJ3BUiW7naC4Rm_-qQBUZcDw;Toko Pakaian Bekas;;;;;
Kindow Mart;4.8;9;Komp Sarijadi Blok 4 No 114, Bandung;Jawa Barat;Jawa Barat;ID;;+62 818-0208-9909;Toko Pakaian Pria;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kindow%20Mart&query_place_id=ChIJd6VrQoPmaC4R7hiU7H_cpRg;Toko Pakaian Pria;;;;;
Sasak Batik;4.5;21;Jl. Cihampelas No.172;Kota Bandung;Jawa Barat;ID;;+62 22 2034844;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sasak%20Batik&query_place_id=ChIJIXVGj1vmaC4RhlVWJbgkMuY;Toko Pakaian;;;;;
Sewa kostum anak bandung komplit Emak zul;5;981;Jl. Sukamaju Dalam No.27;Kota Bandung;Jawa Barat;ID;;+62 895-2593-0064;Toko Kostum;Perias;Klub Kostum Tradisional;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sewa%20kostum%20anak%20bandung%20komplit%20Emak%20zul&query_place_id=ChIJoeMvChjnaC4RwEP31o7KvUw;Toko Kostum;;;;;
Pusat Oleh Oleh Bandung;4.5;1839;Jl. Dr. Djunjunan No.39;Kota Bandung;Jawa Barat;ID;;;Toko;Pusat Perbelanjaan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Pusat%20Oleh%20Oleh%20Bandung&query_place_id=ChIJsQJRA2bmaC4Rfe0XuUTbb0A;Toko;;;;;
LASKALA FLAGSHIP STORE | PARIS VAN JAVA;5;63;Jalan Sukajadi.131-139 Lt GL D38;Kota Bandung;Jawa Barat;ID;;+62 22 82063646;Toko pakaian batik;Toko Pakaian;;;;;;;;;https://www.google.com/maps/search/?api=1&query=LASKALA%20FLAGSHIP%20STORE%20%7C%20PARIS%20VAN%20JAVA&query_place_id=ChIJ82hpLADnaC4R9M7sY-TxeHg;Toko pakaian batik;;;;;
Nike Factory Store;4.3;1442;Jl. Ir. H. Juanda No.145;Kota Bandung;Jawa Barat;ID;http://nike.com/;+62 22 2506701;Toko Pakaian Olahraga;Toko Peralatan Olahraga;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Nike%20Factory%20Store&query_place_id=ChIJB8oEVlbmaC4Rc9960_Q2Qcw;Toko Pakaian Olahraga;;;;;
Istana Zuhair Gamis Hijab;4.2;23;Jl. Sukagalih II No.27, RT.05/RW.09;Kota Bandung;Jawa Barat;ID;http://linktr.ee/istanazuhair;+62 857-2288-0102;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Istana%20Zuhair%20Gamis%20Hijab&query_place_id=ChIJVzzo12DmaC4RAlSQ1wBZ34Q;Toko Pakaian;;;;;
Vilour Promo Indonesia;4.1;65;Jl. Dipati Ukur No.76A;Kota Bandung;Jawa Barat;ID;https://instagram.com/vilour_store;+62 22 2506643;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Vilour%20Promo%20Indonesia&query_place_id=ChIJOU0PLVTmaC4ROmVMXm1oPIQ;Toko Pakaian;;;;;
Cutie Honey Gaun Pesta;4.7;16;BTC Fashion Mall, Jl. DR. Djunjunan Dalam No.143- 149 LT. FF no G3;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/p/Bw8Zt3Ah_4U/?igshid=59z9i55o8p6v;+62 816-606-076;Toko Perlengkapan Pengantin Wanita;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Cutie%20Honey%20Gaun%20Pesta&query_place_id=ChIJEz3WX3vmaC4R67uInaM8Tj8;Toko Perlengkapan Pengantin Wanita;;;;;
Mirtakids Store;5;380;Jl. Imam Bonjol No.1;Kota Bandung;Jawa Barat;ID;;+62 851-1747-6058;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mirtakids%20Store&query_place_id=ChIJ3YFUcgDnaC4RRnmbjCfUvJ0;Toko Pakaian;;;;;
My style ciwalk;4.6;93;Ciwalk mall, Jl. Cihampelas No.160;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/mystyle.or/;;Toko Pakaian Wanita;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=My%20style%20ciwalk&query_place_id=ChIJNT7K9STnaC4RoWEHKQFgFQU;Toko Pakaian Wanita;;;;;
Toko grosir sembako makmur;;;4J4C+G45, Jl. Haurmekar Gg. III;Kota Bandung;Jawa Barat;ID;;+62 812-2270-7449;Pusat Perbelanjaan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20grosir%20sembako%20makmur&query_place_id=ChIJNf_nFD3naC4R-spooSoil5c;Pusat Perbelanjaan;;;;;
Harum Jaya;4.9;353;Jl. Dr. Setiabudi No.110 A;Kota Bandung;Jawa Barat;ID;;+62 858-1987-6500;Toko Pakaian Renang;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Harum%20Jaya&query_place_id=ChIJvzDlVY3maC4R3VRQidSCmBg;Toko Pakaian Renang;;;;;
Toko sembako ijabah 31;;;Gg. Cibangbara, RT.04/RW.2;Kota Bandung;Jawa Barat;ID;;+62 812-2425-1445;Toko sembako pemerintah;Dapur Umum;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20sembako%20ijabah%2031&query_place_id=ChIJ970ZKQDnaC4RKwbtQ9L6txM;Toko sembako pemerintah;;;;;
Warung Sembako Pa Ejeh Cicarita;5;2;4HWP+7FX, Jl. Cicarita Tower, RT.02 RW18/RW.No 53;Kabupaten Bandung Barat;Jawa Barat;ID;;;Pertanian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Pa%20Ejeh%20Cicarita&query_place_id=ChIJ58aEHgbnaC4RKs2hCHloPqU;Pertanian;;;;;
TOKO SEMBAKO ANEKA KARYA MUTLAKA;;;3HXP+959, Jl. Citepus 1;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SEMBAKO%20ANEKA%20KARYA%20MUTLAKA&query_place_id=ChIJOQIH23HmaC4R4L4IX8BCxXw;Toko bahan makanan;;;;;
Toko Sembako Sumber Rezeki;5;2;Jl. Sekeloa Sel. II No.1;Kota Bandung;Jawa Barat;ID;;+62 821-1979-8507;Grosir;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Sumber%20Rezeki&query_place_id=ChIJ46JTUcPnaC4RSLr3VJg5PY0;Grosir;;;;;
Toko Sembako Padi Berkah;;;Jl. Dr. Setiabudi No.214;Kota Bandung;Jawa Barat;ID;;+62 22 30500245;Toko sembako pemerintah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Padi%20Berkah&query_place_id=ChIJkwxEUL7maC4R5jFighkotuQ;Toko sembako pemerintah;;;;;
Warung Sembako Mamah Uus (TOKO HEGAR);4.6;5;Jl. Cibeunying Hegar I No.4;Kota Bandung;Jawa Barat;ID;;;Toko;Toko sembako pemerintah;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Mamah%20Uus%20(TOKO%20HEGAR)&query_place_id=ChIJ2fAviqnnaC4RC4n7me_uGlQ;Toko;;;;;
Sepatu anak Brand Snaley;;;Jl. Rereng Wulung No.37;Kota Bandung;Jawa Barat;ID;;+62 812-8011-1068;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sepatu%20anak%20Brand%20Snaley&query_place_id=ChIJMcKmiSroaC4Rl5P2jzI5LuU;Toko Sepatu;;;;;
Toko sembako pemerintah;;;Gg. Bp Ohe;Kota Bandung;Jawa Barat;ID;https://wa.me/081220971402;+62 812-2097-1402;Toko sembako pemerintah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20sembako%20pemerintah&query_place_id=ChIJP70tWvHlaC4R9TP6j4GVtl8;Toko sembako pemerintah;;;;;
Sevspo Cimahi;5;2;Jl. Babakan Radio No.12;Kota Bandung;Jawa Barat;ID;https://sevspocimahi.blogspot.com/;+62 858-7272-2162;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Sevspo%20Cimahi&query_place_id=ChIJTyKDUbvlaC4RQI3XihPwrt8;Toko Sepatu;;;;;
Toko Sembako INTAN BARUS;5;3;Jl. Cisitu Lama Gang VII No.12, RT.007/RW.010;Kota Bandung;Jawa Barat;ID;;+62 822-1550-9542;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20INTAN%20BARUS&query_place_id=ChIJtcD3r_nnaC4RwkgqF-R56D8;Toko bahan makanan;;;;;
Pijakbumi;4.8;13;Jl. Bukit Dago Utara II No.11;Kota Bandung;Jawa Barat;ID;https://pijakbumi.com/;+62 813-6009-9907;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Pijakbumi&query_place_id=ChIJj09rNvzmaC4RjDV-mZoXpNU;Toko Sepatu;;;;;
Toko cha cha;3.8;10;Jl. Sapujagat No.12;Kota Bandung;Jawa Barat;ID;;+62 821-2199-9989;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20cha%20cha&query_place_id=ChIJ3cdWMbDnaC4RIXxQErHqVLU;Toko bahan makanan;;;;;
Toko Sembako H. Udin;3.7;14;Jl. Rereng Wulung No.15;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20H.%20Udin&query_place_id=ChIJC9EB1q_naC4Rm7WLv2uKqbk;Toko;;;;;
Warung ma onyas;5;8;Jln. Citra green dago, kp Jl. Cipicung Girang No.05 rt05/10;Kota Bandung;Jawa Barat;ID;;+62 857-7639-8864;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20ma%20onyas&query_place_id=ChIJjXC9zS7naC4RIUi25FgnpU8;Toko Kelontong Asia;;;;;
Warung Tangga;5;1;Jl. Ir. H. Juanda No.30 158A;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Tangga&query_place_id=ChIJXYYK5LnnaC4Ra37-iS2QwAY;Toko Kelontong Asia;;;;;
TOKO HR;5;2;Jl. Puyuh No.91 rw 10, RT.001;Kota Bandung;Jawa Barat;ID;;+62 856-0130-5718;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20HR&query_place_id=ChIJA91Vp6znaC4RItpy8u2XDWU;Toko Kelontong Asia;;;;;
toko kelontong Aly; bisa tarik & setor tunai;;;Jl. Babakan Cianjur No.02;Kota Bandung;Jawa Barat;ID;;;Minimarket;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=toko%20kelontong%20Aly%2C%20bisa%20tarik%20%26%20setor%20tunai&query_place_id=ChIJZaUtNADlaC4RKfRCVOqU7Cs;Minimarket;;;;
warung ibu taty;;;Gg. Emon No.486;Kota Bandung;Jawa Barat;ID;;+62 856-2457-7995;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=warung%20ibu%20taty&query_place_id=ChIJa6aDtALnaC4RsxToXPQT02s;Toko Kelontong Asia;;;;;
WILDSHELL;4.4;9;Jl. Gegerkalong Hilir No.75;Kota Bandung;Jawa Barat;ID;https://wildshell.id/;+62 821-2100-1962;Toko Olahraga Luar Ruangan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=WILDSHELL&query_place_id=ChIJA_D3wbTnaC4RYbNhGYC-rSY;Toko Olahraga Luar Ruangan;;;;;
Eiger Adventure Store Suci;4.9;58;Jl. Surapati No.147;Kota Bandung;Jawa Barat;ID;http://www.eigeradventure.com/;+62 811-2003-1478;Toko Olahraga Luar Ruangan;Pusat Perbelanjaan;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Eiger%20Adventure%20Store%20Suci&query_place_id=ChIJaa0tHwDnaC4R02f7YF8WnMo;Toko Olahraga Luar Ruangan;;;;;
Mahameru Survival Soul;4.9;18;Jl. Sarimanah 1 no. 68 blok 14, RT/RW 02/05;Kota Bandung;Jawa Barat;ID;;+62 857-6588-5490;Toko Pakaian dan Peralatan Luar Ruangan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mahameru%20Survival%20Soul&query_place_id=ChIJpb4ceivnaC4RHW2kuBRb9uc;Toko Pakaian dan Peralatan Luar Ruangan;;;;;
Warung Pak Asep Gaos;5;1;babul jannah, Jl. Cibeunying Kolot Gg. H. Atih;Kota Bandung;Jawa Barat;ID;;+62 899-4024-414;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Pak%20Asep%20Gaos&query_place_id=ChIJZQ-DRQDnaC4R4veGGZfZdjs;Toko Kelontong Asia;;;;;
Outlive;4.5;55;Jl. Dr. Setiabudi No.84;Kota Bandung;Jawa Barat;ID;;+62 22 2446303;Toko Pakaian Olahraga;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Outlive&query_place_id=ChIJFXTnzvLmaC4R1a2puhIZi_M;Toko Pakaian Olahraga;;;;;
Khakikakiku PVJ;4.9;60;Paris Van Java, Jl.Sukajadi No.131-139, Paris Van Java, Lt.GL, Unit.C16 B;Kota Bandung;Jawa Barat;ID;http://www.khakikakiku.com/;+62 22 82063845;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Khakikakiku%20PVJ&query_place_id=ChIJ_6mlRWDmaC4Rgv_ZZZ7qTmY;Toko Sepatu;;;;;
SOGO • PVJ Mall;4.5;1003;Paris Van Java, Jl. Sukajadi No.137-139;Kota Bandung;Jawa Barat;ID;http://sogo.co.id/;+62 821-2000-2919;Toserba;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=SOGO%20%E2%80%A2%20PVJ%20Mall&query_place_id=ChIJGzlWFWDmaC4RtdUAWpm7pSE;Toserba;;;;;
Your Bag Spa PVJ;4.9;362;SKY LEVEL dekat Janji Jiwa, Paris Van Java, Jl. Sukajadi No.131 — 139;Kota Bandung;Jawa Barat;ID;http://www.yourbagspa.com/;+62 859-1095-24889;Binatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Your%20Bag%20Spa%20PVJ&query_place_id=ChIJ5WM_JGDmaC4Rnq8Am9MvAbY;Binatu;;;;;
KONVEKSI BAJU PEREMPUAN DAN SERAGAM;4.7;3;Jl. Bumi Pasundan No.177;Kota Bandung;Jawa Barat;ID;;+62 812-1913-6054;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=KONVEKSI%20BAJU%20PEREMPUAN%20DAN%20SERAGAM&query_place_id=ChIJo4BplUrdaC4Rfxr4vPaQQRw;Toko Pakaian;;;;;
